site_id,site_name,latitude,longitude,state,county,city,site_type,status,contamination_type,federal_facility,npl_status
SEMSCON000821181,Holly Street Fireworks,39.7420494,-104.9915411,Colorado,Denver,Denver,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSTXN000606643,Ascend Ammonia Release,29.0694881,-95.339368,Texas,Brazoria,Clute,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000505571,B And B Linden Release,42.8147882,-83.7819647,Michigan,Genesee,Linden,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCA2360030033,Us Dept Of Veterans Affairs Va Great La,34.0524328,-118.4584862,California,Los Angeles,Los Angeles,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNVD980419683,Jupiter Gold Co,40.9733386,-117.7316799,Nevada,Humboldt,Winnemucca,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSOHD986966430,Marietta Well Field/Unknown Source,39.4305637,-81.4716707,Ohio,Washington,Marietta,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000510926,Sault Ste. Marie Wastewater Treatment Plant,46.4897088,-84.3123052,Michigan,Chippewa County,Sault Sainte Marie,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSSC9570024332,Defense Fuels Charleston,32.9131864,-79.9858929,South Carolina,Charleston,Hanahan,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCAN000909502,Borderfield Site,32.5755347,-117.1274119,California,San Diego,Imperial Beach,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNC6640006650,Tennessee Valley Authority Fontana Hydro Dam,35.4522288,-83.8047261,North Carolina,Graham,Fontana,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSOHN000507885,Southard Avenue Asbestos Site,41.659019,-83.5391855,Ohio,Lucas,Toledo,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNEN000741009,Allmand Brothers Inc,40.4381869,-99.4010088,Nebraska,Phelps,Holdrege,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNJD986621472,"Former Bill'S Garage, Inc.",40.6365612,-74.9122667,New Jersey,Hunterdon,Clinton,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSID0001766815,Usda Fs Sawtooth Nf:Bassett Gulch Mill,43.6666731,-114.4583457,Idaho,Blaine,Ketchum,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMOSFN0703487,Food & Drug Administration,39.102017,-94.5761274,Missouri,Jackson,Kansas City,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMD1750090002,Nih/Nia Gerontology Research Center (Grc),39.2873979,-76.5494522,Maryland,Baltimore,Baltimore,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSARR000029025,Us Technologies,35.3850763,-94.3616948,Arkansas,Sebastian,Fort Smith,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCA9170090014,Point Sur Naval Facility,36.3333379,-121.900013,California,Monterey,Big Sur,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCAN000926483,Universal Meditech Inc.,36.597756,-119.4551666,California,-- Not Defined --,Reedley,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSWVN000320089,Artistic Cleaners,38.4179938,-82.4211051,West Virginia,Cabell,Huntington,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSSCD154204986,Wise Farm Site,33.3488305,-81.2180793,South Carolina,Barnwell,Blackville,Superfund,Not On The Npl,,False,Non-NPL Superfund
