well_id,latitude,longitude,state,county,well_depth_ft,well_capacity_gpm,water_use,status,year_constructed
AL-USGS-301244087575701,31.045735,-87.965831,Alabama,097,27.0,,Groundwater,Active,
AL-USGS-301337088012701,30.55936,-88.024163,Alabama,003,38.0,,Groundwater,Active,
AL-USGS-301338088012701,30.227426,-88.023886,Alabama,003,31.0,,Groundwater,Active,
AL-USGS-301341088010501,30.22826,-88.018053,Alabama,003,1523.0,,Groundwater,Active,
AL-USGS-301342088012201,30.55936,-88.022774,Alabama,003,30.0,,Groundwater,Active,
AL-USGS-301346088012301,30.229648,-88.023053,Alabama,003,25.0,,Groundwater,Active,
AL-USGS-301347087581301,30.55936,-87.970273,Alabama,003,18.0,,Groundwater,Active,
AL-USGS-301348087590901,30.55936,-87.985829,Alabama,003,35.0,,Groundwater,Active,
AL-USGS-301350087580001,30.55936,-87.971106,Alabama,003,15.0,,Groundwater,Active,
AL-USGS-301351087515401,30.230833,-87.865028,Alabama,003,40.0,,Groundwater,Active,
AL-USGS-301352087554101,30.55936,-87.928049,Alabama,003,13.0,,Groundwater,Active,
AL-USGS-301358087580701,30.55936,-87.968606,Alabama,003,8.0,,Groundwater,Active,
AL-USGS-301408087541501,30.55936,-87.90416,Alabama,003,31.0,,Groundwater,Active,
AL-USGS-301410087460401,30.55936,-87.767768,Alabama,003,18.0,,Groundwater,Active,
AL-USGS-301417087523501,30.55936,-87.876104,Alabama,003,41.0,,Groundwater,Active,
AL-USGS-301418087525401,30.238333,-87.881722,Alabama,003,15.0,,Groundwater,Active,
AL-USGS-301418087530401,30.55936,-87.884437,Alabama,003,32.0,,Groundwater,Active,
AL-USGS-301421087382501,30.276313,-87.666929,Alabama,003,41.0,,Groundwater,Active,
AL-USGS-301421087445801,30.55936,-87.749434,Alabama,003,19.0,,Groundwater,Active,
AL-USGS-301421087590001,30.23937,-87.98333,Alabama,003,,,Groundwater,Active,
AL-USGS-301425087510501,30.241592,-87.855825,Alabama,003,105.0,,Groundwater,Active,
AL-USGS-301430087443001,30.249092,-87.762766,Alabama,003,87.0,,Groundwater,Active,
AL-USGS-301430087511101,30.24187,-87.853047,Alabama,003,121.0,,Groundwater,Active,
AL-USGS-301434087503101,30.242981,-87.841935,Alabama,003,17.0,,Groundwater,Active,
AL-USGS-301442088055901,30.245204,-88.099721,Alabama,097,43.0,,Groundwater,Active,
AL-USGS-301443088055601,30.245481,-88.098888,Alabama,097,36.0,,Groundwater,Active,
AL-USGS-301443088055602,30.245481,-88.098888,Alabama,097,,,Groundwater,Active,
AL-USGS-301443088064401,30.245481,-88.112222,Alabama,097,38.0,,Groundwater,Active,
