well_id,latitude,longitude,state,county,well_depth_ft,well_capacity_gpm,water_use,status,year_constructed
CO-USGS-365946105413901,36.996111,-105.694167,Colorado,023,,,Groundwater,Active,
CO-USGS-365947105374001,36.996409,-105.628345,Colorado,023,232.0,,Groundwater,Active,
CO-USGS-365958105403001,37.00127,-105.664985,Colorado,023,230.0,,Groundwater,Active,
CO-USGS-370001106470300,37.000289,-106.784758,Colorado,007,,,Groundwater,Active,
CO-USGS-370003107520301,37.000835,-107.868121,Colorado,067,58.0,,Groundwater,Active,
CO-USGS-370004102031800,37.001133,-102.05545,Colorado,009,184.0,,Groundwater,Active,
CO-USGS-370004105402201,37.001131,-105.673346,Colorado,023,,,Groundwater,Active,
CO-USGS-370017107152400,37.004728,-107.257265,Colorado,007,124.0,,Groundwater,Active,
CO-USGS-370021108111400,37.005833,-108.187855,Colorado,067,21.0,,Groundwater,Active,
CO-USGS-370023105352901,37.006409,-105.591956,Colorado,023,,,Groundwater,Active,
CO-USGS-370025107135800,37.006951,-107.233654,Colorado,007,65.0,,Groundwater,Active,
CO-USGS-370025107135900,37.006951,-107.233654,Colorado,007,,,Groundwater,Active,
CO-USGS-370028105393501,37.012658,-105.651152,Colorado,023,,,Groundwater,Active,
CO-USGS-370030105320501,37.008354,-105.535288,Colorado,023,51.0,,Groundwater,Active,
CO-USGS-370033107243500,37.009172,-107.410326,Colorado,007,150.0,,Groundwater,Active,
CO-USGS-370033107244300,37.009172,-107.412548,Colorado,007,230.0,,Groundwater,Active,
CO-USGS-370033107244301,37.009172,-107.412548,Colorado,007,230.0,,Groundwater,Active,
CO-USGS-370033107244401,37.009172,-107.412826,Colorado,007,150.0,,Groundwater,Active,
CO-USGS-370040102341800,37.011131,-102.572137,Colorado,009,53.0,,Groundwater,Active,
CO-USGS-370040107164900,37.011117,-107.280877,Colorado,007,17.0,,Groundwater,Active,
CO-USGS-370042102201300,37.011687,-102.337405,Colorado,009,121.0,,Groundwater,Active,
