api_number,well_name,latitude,longitude,state,county,operator_name,well_type,well_status,spud_date,months_inactive,liability_est,field_name,lease_name,district
049-21092,HARRISON ALICE J ETAL #30,36.484167,-84.794833,Tennessee,Fentress,"Livingston, Robert H.",,Dry & Abandoned,1983-02-28,517,,Nashville Group,,
049-21093,Gary Rogers #6,36.21475,-84.915972,Tennessee,Fentress,"Amtex Resources, Inc",,Dry & Abandoned,1983-02-28,517,,Knox Group,,
049-21096,Marlene Von Esslinger #1,36.166583,-85.025139,Tennessee,Fentress,"Panther Petroleum, Inc",,Dry & Abandoned,1983-03-03,516,,Monteagle Limestone,,
049-21097,ATKINSON TIMOTHY #1,36.18775,-84.941944,Tennessee,Fentress,"Johnson Energy, Inc.",,Dry & Abandoned,1983-03-08,516,,,,
049-21098,Marlene Von Esslinger #2,36.168806,-85.021806,Tennessee,Fentress,"Panther Petroleum, Inc",,Dry & Abandoned,1983-03-15,516,,Monteagle Limestone,,
049-21100,MATHENY WORTH HEIRS #1,36.211861,-84.949667,Tennessee,Fentress,"Johnson Energy, Inc.",,Dry & Abandoned,1983-03-21,516,,Monteagle Limestone,,
049-21101,MATHENY WORTH HEIRS #2,36.214194,-84.948639,Tennessee,Fentress,"Johnson Energy, Inc.",,Dry & Abandoned,1983-03-21,516,,Monteagle Limestone,,
049-21102,AMTEX-GERNT #3,36.221194,-84.956778,Tennessee,Fentress,"Amtex Resources, Inc",,Abandoned Loc,1983-03-25,516,,Fort Payne Formation,,
049-21103,GERNT BRUNO ESTATE OF #2,36.217472,-84.961056,Tennessee,Fentress,"Amtex Resources, Inc",,Dry & Abandoned,1983-03-25,516,,Fort Payne Formation,,
049-21104,GERNT BRUNO EST #1,36.217472,-84.956556,Tennessee,Fentress,"Amtex Resources, Inc",,Dry & Abandoned,1983-03-25,516,,Fort Payne Formation,,
049-21105,Roger Beaty #1,36.221611,-84.944889,Tennessee,Fentress,"Amtex Resources, Inc",,Dry & Abandoned,1983-04-06,515,,Monteagle Limestone,,
049-21106,HARDEMAN/WILLIAMS #2,36.427556,-84.731639,Tennessee,Fentress,"Dixie-Shamrock Oil & Gas, Inc.",,Abandoned Loc,1983-04-07,515,,Fort Payne Formation,,
049-21106-R1,HARDEMAN / WILLIAMS #2,36.425389,-84.729083,Tennessee,Fentress,"Dixie-Shamrock Oil & Gas, Inc.",,Dry & Abandoned,1983-07-11,512,,Fort Payne Formation,,
