api_number,well_name,latitude,longitude,state,county,operator_name,well_type,well_status,spud_date,months_inactive,liability_est,field_name,lease_name,district
4700100048,"HUDKINS, DEWITT C. #9067",39.169374,-80.157339,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1947-03-04,,,NA,"HUDKINS, DEWITT C.",
4700100450,"WILMOUTH, BOYD #1",39.037819,-80.005723,West Virginia,Barbour,"WILMOTH, CLIFFORD L.",Vertical,Abandoned,1969-05-24,,,NA,"WILMOUTH, BOYD",
4700100548,"STEWART, DANIEL R., ETAL #1",39.168746,-80.222375,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1971-01-01,,,NA,"STEWART, DANIEL R., ETAL",
4700100584,"ZACAVICH, FRANK #2-S-273-CH",39.228731,-80.135243,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,2014-07-21,,,"Benson,Riley","ZACAVICH, FRANK",
4700100194,"ZIRKLE, ELMER #1",39.074723,-80.08412,West Virginia,Barbour,BRAXTON OIL AND GAS CORP.,Vertical,Abandoned,1964-10-31,,,NA,"ZIRKLE, ELMER",
4700100078,"STOUT, L. C. #9869",39.135501,-80.195327,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1954-12-02,,,NA,"STOUT, L. C.",
4700100278,"TRIMBLE, ROBERT E. #10726",39.194986,-80.159404,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-02-06,,,NA,"TRIMBLE, ROBERT E.",
4700100305,"CURKENDALL, MARVIN #(1)-133-C",39.080235,-80.130534,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-07-27,,,NA,"CURKENDALL, MARVIN",
4700100380,"PATSEY, D. H., ETAL #1-166-CH",39.189636,-80.106131,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1968-03-02,,,NA,"PATSEY, D. H., ETAL",
4710100093,SUN LUMBER COMPANY #SUN 1-A,38.605084,-80.323796,West Virginia,Webster,BUCHER EXPLORATION L.L.C.,Vertical,Abandoned,2014-09-15,,,"Benson,Blue Monday",SUN LUMBER COMPANY,
