api_number,well_name,latitude,longitude,state,county,operator_name,well_type,well_status,spud_date,months_inactive,liability_est,field_name,lease_name,district
49-001-05036,HULL #1,41.2752,-106.1387,Wyoming,Albany,GLENWOOD OIL COMPANY,Service,Permanently Abandoned,1955-06-01,849,,WC,HULL,
49-001-05083,WATER #1,41.32822,-105.56664,Wyoming,Albany,UNION OIL CO OF CALIFORNIA,Unknown,Permanently Abandoned,,,,WC,WATER,
49-001-05106,HERRICK #3,41.381485,-105.873428,Wyoming,Albany,TAP MANAGEMENT INC,Oil,Temporarily Abandoned,1947-04-01,54,,HERRICK,HERRICK,
49-001-05109,HERRICK #4,41.385008,-105.873601,Wyoming,Albany,TAP MANAGEMENT INC,Disposal,Temporarily Abandoned,1947-05-01,54,,HERRICK,HERRICK,
49-001-05113,PARKINSON #1,41.38742,-105.82684,Wyoming,Albany,TAP MANAGEMENT INC,Disposal,Temporarily Abandoned,1948-04-01,54,,LITTLE LARAMIE,PARKINSON,
49-001-05117,HERRICK #6,41.383222,-105.873615,Wyoming,Albany,TAP MANAGEMENT INC,Oil,Temporarily Abandoned,1948-03-01,54,,HERRICK,HERRICK,
49-001-60001,BOYLAN #1,41.91766,-106.04476,Wyoming,Albany,TWIN EAGLE PETRO CORP,Unknown,Permanently Abandoned,1950-04-01,,,WC,BOYLAN,
49-003-05061,WY State 0-3593 #1,44.17381,-107.73271,Wyoming,Big Horn,LEGACY RESERVES OPERATING LP,Oil,Temporarily Abandoned,1952-04-01,74,,BONANZA,WY State 0-3593,
49-003-05063,MENGER #3,44.17459,-107.73207,Wyoming,Big Horn,LEGACY RESERVES OPERATING LP,Oil,Temporarily Abandoned,1952-06-01,74,,BONANZA,MENGER,
49-003-05072,STATE 0-4198 #2,44.17788,-107.73521,Wyoming,Big Horn,LEGACY RESERVES OPERATING LP,Oil,Temporarily Abandoned,1951-04-01,74,,BONANZA,STATE 0-4198,
49-003-05392,UNIT #9,44.37738,-107.98037,Wyoming,Big Horn,STANOLIND OIL & GAS COMPANY,Unknown,Permanently Abandoned,1952-04-01,,,TORCHLIGHT,UNIT,
